",""source"",""target"",""date"",""type"",""weight"",""date_index"""
"75,""Kim"",""Leek"",""2005-08-08 00:00:00"",""email"",1,16"
"76,""Leek"",""Kim"",""2005-08-19 00:00:00"",""email"",1,17"
"77,""Leek"",""Justice"",""2005-08-19 00:00:00"",""email"",1,17"
"78,""Kim"",""Leek"",""2005-08-19 00:30:00"",""email"",1,18"
"79,""Leek"",""Kim"",""2005-08-21 01:00:00"",""email"",1,19"
"80,""Leek"",""Justice"",""2005-08-21 01:00:00"",""email"",1,19"
"81,""Kim"",""Leek"",""2005-08-26 00:00:00"",""email"",1,20"
"82,""Telinen"",""Leek"",""2005-10-12 00:00:00"",""email"",1,21"
"83,""Leek"",""Kim"",""2005-10-20 00:00:00"",""email"",1,22"
"84,""Leek"",""Koo"",""2005-10-26 00:00:00"",""email"",1,23"
"85,""Kim"",""Leek"",""2005-10-26 00:30:00"",""email"",1,24"
"86,""Leek"",""Justice"",""2006-03-02 00:00:00"",""email"",1,25"
"87,""Leek"",""Justice"",""2006-03-13 00:00:00"",""email"",1,26"
"88,""Maehata"",""Leek"",""2006-03-17 00:00:00"",""email"",1,27"
"89,""Maehata"",""Justice"",""2006-03-17 00:00:00"",""email"",1,27"
"90,""Maehata"",""Leek"",""2006-03-18 00:00:00"",""email"",1,28"
"91,""Maehata"",""Justice"",""2006-03-18 00:00:00"",""email"",1,28"
"92,""Maehata"",""Leek"",""2006-03-21 00:00:00"",""email"",1,29"
"93,""Maehata"",""Justice"",""2006-03-21 00:00:00"",""email"",1,29"
"94,""Justice"",""Maehata"",""2006-03-21 00:30:00"",""email"",1,30"
"95,""Justice"",""Leek"",""2006-03-21 00:30:00"",""email"",1,30"
"96,""Rao"",""Justice"",""2006-04-04 00:00:00"",""email"",1,31"
"97,""Rao"",""Sorby"",""2006-04-04 00:00:00"",""email"",1,31"
"98,""Sorby"",""Leek"",""2006-04-04 00:30:00"",""email"",1,32"
"99,""Sorby"",""Justice"",""2006-04-04 00:30:00"",""email"",1,32"
"100,""Rao"",""Justice"",""2006-04-05 00:00:00"",""email"",1,33"
"101,""Rao"",""Sorby"",""2006-04-05 00:00:00"",""email"",1,33"
"102,""Telinen"",""Leek"",""2006-04-10 00:00:00"",""email"",1,34"
"103,""Leek"",""Telinen"",""2006-04-10 00:30:00"",""email"",1,35"
"104,""Kim"",""Leek"",""2006-08-03 00:00:00"",""email"",1,36"
"105,""Lin"",""Wiggans"",""2006-08-08 00:00:00"",""email"",1,37"
"106,""Wiggans"",""Lin"",""2006-08-08 00:30:00"",""email"",1,38"
"107,""Kim"",""Shillito"",""2006-08-24 00:00:00"",""email"",1,39"
"108,""Kim"",""Leek"",""2006-08-24 00:00:00"",""email"",1,39"
"109,""Kim"",""Leek"",""2006-09-06 00:00:00"",""email"",1,40"
